alert_id,field_id,observation_id,alert_type,severity,message
806870,891590,827905,drought,low,Punjab field alert
249066,217660,836385,drought,medium,Punjab field alert
526020,769193,792669,drought,medium,Punjab field alert
648851,772320,614206,drought,low,Punjab field alert
339151,373357,133539,drought,high,Punjab field alert
858090,122219,825632,flood,medium,Punjab field alert
587765,271070,563173,drought,medium,Punjab field alert
350993,674519,837484,pest,low,Punjab field alert
878901,967931,414983,pest,medium,Punjab field alert
333809,776620,657515,pest,medium,Punjab field alert
285641,726494,978841,flood,high,Punjab field alert
639965,624401,407099,drought,high,Punjab field alert
924518,824915,104018,flood,medium,Punjab field alert
349220,261694,230269,drought,medium,Punjab field alert
225528,753044,417645,drought,medium,Punjab field alert
584115,310774,737423,drought,low,Punjab field alert
712736,870170,871578,flood,low,Punjab field alert
864788,116605,109312,flood,medium,Punjab field alert
132249,969349,901114,pest,medium,Punjab field alert
746815,415986,268801,drought,low,Punjab field alert
570553,218181,512911,pest,medium,Punjab field alert
888344,757689,265487,drought,low,Punjab field alert
666021,688192,219532,flood,medium,Punjab field alert
112892,774461,495758,drought,medium,Punjab field alert
323061,432631,579110,heat_stress,high,Punjab field alert
231838,310774,871578,flood,medium,Punjab field alert
837092,753044,435362,flood,medium,Punjab field alert
542516,714845,760059,drought,medium,Punjab field alert
911857,371892,978841,flood,medium,Punjab field alert
275491,592284,743729,heat_stress,medium,Punjab field alert
573015,737506,362037,pest,medium,Punjab field alert
347535,820629,565401,heat_stress,medium,Punjab field alert
769916,450500,813743,drought,high,Punjab field alert
185509,688192,836385,flood,low,Punjab field alert
973565,311146,301550,heat_stress,medium,Punjab field alert
957837,834002,670982,drought,high,Punjab field alert
578604,834002,818188,flood,high,Punjab field alert
251573,424614,832120,pest,high,Punjab field alert
389184,737506,321707,pest,low,Punjab field alert
291443,261694,124418,flood,medium,Punjab field alert
919096,366141,414983,pest,medium,Punjab field alert
252775,366141,800470,heat_stress,high,Punjab field alert
951231,624401,809957,drought,medium,Punjab field alert
331240,147245,378152,drought,medium,Punjab field alert
637276,682864,801845,drought,medium,Punjab field alert
914270,578787,366680,flood,medium,Punjab field alert
558292,885233,391500,flood,high,Punjab field alert
505182,401211,512262,drought,low,Punjab field alert
952170,435671,861886,pest,medium,Punjab field alert
882004,401529,328758,drought,low,Punjab field alert
845789,310774,949315,drought,medium,Punjab field alert
136672,178522,658997,heat_stress,medium,Punjab field alert
654540,824915,847264,heat_stress,medium,Punjab field alert
863559,755935,607528,drought,medium,Punjab field alert
220586,302485,190335,drought,medium,Punjab field alert
435051,641773,643996,pest,medium,Punjab field alert
643504,271070,680656,heat_stress,medium,Punjab field alert
843987,816451,133539,flood,medium,Punjab field alert
203335,589812,512288,heat_stress,low,Punjab field alert
348576,401211,133539,flood,high,Punjab field alert
